index_column,time,dt,yaw,pitch,roll,displacement_north,displacement_east,altitude_geometric,geodetic_lat
971,2.93782399999998,0.000236000000029435,-84.6885472798243,-84.6885472798243,-84.6885472798243,-0.327322259528998,0.12574049529805,0.0168774998112491,-36.4823
972,2.93806000000001,9.39999999900465e-05,-84.6885472770554,-84.6885472770554,-84.6885472770554,-0.327322247793667,0.125740489597473,0.0158316469663507,-36.4823
973,2.938154,9.79999999799475e-05,-84.7226163151274,-84.7226163151274,-84.7226163151274,-0.327315282403072,0.125729757609447,0.0158315923629389,-36.4823
974,2.93825199999998,5.10000000417676e-05,-84.7216574388642,-84.7216574388642,-84.7216574388642,-0.327315282403072,0.125729757609447,0.0158315923629389,-36.4823
975,2.93830300000002,0.000233999999977641,-84.7248937637018,-84.7248937637018,-84.7248937637018,-0.327743589794348,0.12597428822598,0.0159886418927439,-36.4823
976,2.938537,9.49999999875217e-05,-84.7248937610583,-84.7248937610583,-84.7248937610583,-0.327743578099806,0.125974282545426,0.0149450091322842,-36.4823
977,2.93863199999998,9.39999999900465e-05,-84.7434769592604,-84.7434769592604,-84.7434769592604,-0.32773940526685,0.125970500427002,0.0149447537125213,-36.4823
978,2.93872599999997,5.50000000316686e-05,-84.7425208425811,-84.7425208425811,-84.7425208425811,-0.32773940526685,0.125970500427002,0.0149447537125213,-36.4823
979,2.93878100000001,0.000232999999980166,-84.7456647498717,-84.7456647498717,-84.7456647498717,-0.32815696719442,0.126209497882446,0.0150982306927819,-36.4823
980,2.93901399999999,9.49999999875217e-05,-84.7456647473342,-84.7456647473342,-84.7456647473342,-0.328156955540458,0.126209492221824,0.0140568146337995,-36.4823
981,2.93910899999997,9.80000000367909e-05,-84.7559373016912,-84.7559373016912,-84.7559373016912,-0.328154695201939,0.12620809826763,0.014056651835936,-36.4823
982,2.93920700000001,5.09999999849242e-05,-84.7549839296366,-84.7549839296366,-84.7549839296366,-0.328154695201939,0.12620809826763,0.014056651835936,-36.4823
983,2.939258,0.000233999999977641,-84.7580543192644,-84.7580543192644,-84.7580543192644,-0.328562468873788,0.126441809575627,0.0142066541922378,-36.4823
984,2.93949199999997,9.00000000001455e-05,-84.7580543168191,-84.7580543168191,-84.7580543168191,-0.328562457260194,0.126441803934834,0.0131674493772402,-36.4823
985,2.93958199999997,9.80000000367909e-05,-84.7638598398776,-84.7638598398776,-84.7638598398776,-0.328561434376307,0.126441354617333,0.0131674277211492,-36.4823
986,2.93968000000001,5.09999999849242e-05,-84.7629151859599,-84.7629151859599,-84.7629151859599,-0.328561434376307,0.126441354617333,0.0131674277211492,-36.4823
987,2.93973099999999,0.000236000000029435,-84.7659249215225,-84.7659249215225,-84.7659249215225,-0.328960114961035,0.126670016217102,0.0133140779189525,-36.4823
988,2.93996700000002,9.5999999984997e-05,-84.7659249191598,-84.7659249191598,-84.7659249191598,-0.328960103387512,0.126670010595992,0.0122770701076137,-36.4823
989,2.94006300000001,9.79999999799475e-05,-84.7693177256328,-84.7693177256328,-84.7693177256328,-0.328959851181556,0.12666999620191,0.0122771670878174,-36.4823
990,2.94016099999999,5.09999999849242e-05,-84.7683578168737,-84.7683578168737,-84.7683578168737,-0.328959851181556,0.12666999620191,0.0122771670878174,-36.4823
991,2.94021199999997,0.00023700000002691,-84.7713156275765,-84.7713156275765,-84.7713156275765,-0.329349938399643,0.126893807635515,0.0124205802090958,-36.4823
992,2.940449,0.0745580000000245,-84.7713156252898,-84.7713156252898,-84.7713156252898,-0.329349926866282,0.126893802034128,0.0113857895742906,-36.4823
993,3.01500700000003,9.49999999875217e-05,-84.7713156252898,-84.7713156252898,-84.7713156252898,-0.329349926866282,0.126893802034128,0.0113857895742906,-36.4823
